Module	Section	Sample Name	Source
FastQC	all_sections	RNA_trim_SRR4342137.forward_paired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342137.forward_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_SRR4342137.forward_unpaired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342137.forward_unpaired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_SRR4342137.reverse_paired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342137.reverse_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_SRR4342137.reverse_unpaired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342137.reverse_unpaired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_SRR4342139.forward_paired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342139.forward_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_SRR4342139.forward_unpaired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342139.forward_unpaired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_SRR4342139.reverse_paired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342139.reverse_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_SRR4342139.reverse_unpaired	/home/pcr98/GenomeAnalysis/GenomeAnalysis/output/RNA_fastqc_trimmed/RNA_trim_SRR4342139.reverse_unpaired.trimmed_fastqc.zip
FastQC	all_sections	SRR4342137.1	/home/pcr98/GenomeAnalysis/GenomeAnalysis/analysis/preprocessing/RNA_fastqc_raw/SRR4342137.1_fastqc.zip
FastQC	all_sections	SRR4342137.2	/home/pcr98/GenomeAnalysis/GenomeAnalysis/analysis/preprocessing/RNA_fastqc_raw/SRR4342137.2_fastqc.zip
FastQC	all_sections	SRR4342139.1	/home/pcr98/GenomeAnalysis/GenomeAnalysis/analysis/preprocessing/RNA_fastqc_raw/SRR4342139.1_fastqc.zip
FastQC	all_sections	SRR4342139.2	/home/pcr98/GenomeAnalysis/GenomeAnalysis/analysis/preprocessing/RNA_fastqc_raw/SRR4342139.2_fastqc.zip
